시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
안양시,LG연구소정문,LG Research Institute Main Gate,209000331,10295,노변정류장,경기도 안양시,,37.3719333,126.9540333
안양시,LG연구소후문,LG Research Institute Back Gate,209000327,10291,노변정류장,경기도 안양시,,37.3749833,126.9540333
안양시,LG연구소후문,LG Research Institute Back Gate,209000326,10290,노변정류장,경기도 안양시,,37.3749,126.9538833
안양시,LS어린이집,LS Daycare Center,209000392,10358,노변정류장,경기도 안양시,,37.3726667,126.9494667
안양시,LS타워,LS Tower,209000225,10197,노변정류장,경기도 안양시,경기도 안양시 동안구 호계동,37.3725667,126.9477167
안양시,LS타워,LS Tower,209000226,10198,노변정류장,경기도 안양시,경기도 안양시 동안구 호계동,37.3724167,126.9484333
안양시,LS타워(마을),,209508810,,,,,37.3729833,126.9471
안양시,갈뫼어린이공원,Galmoe Children's Park,208000013,9062,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4101833,126.9066667
안양시,경기글로벌통상고,Gyeonggi Global Trade High School,209000081,10030,노변정류장,경기도 안양시,경기도 안양시 동안구 비산동,37.3974333,126.9468833
안양시,경기글로벌통상고,Gyeonggi Global Trade High School,209000092,10028,노변정류장,경기도 안양시,경기도 안양시 동안구 비산동,37.3971167,126.9467
안양시,경남아너스빌,Keangnam Honorsville ,208000352,9316,노변정류장,경기도 안양시,,37.4054833,126.9201
안양시,경원여객안양차고지,Kyungwon Transport Anyang Garage,209000120,10019,노변정류장,경기도 안양시,경기도 안양시 동안구 호계동,37.38655,126.9446167
안양시,경원여객안양차고지,Kyungwon Transport Anyang Garage,209000117,10018,노변정류장,경기도 안양시,경기도 안양시 동안구 호계동,37.3867333,126.9448667
안양시,경원여객안양차고지(경유),,277103081,,,,,37.3865667,126.9446
안양시,경인교육대,Gyeongin National University of Education ,208000014,9137,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.43125,126.9183
안양시,경인교육대,Gyeongin National University of Education ,208000029,9136,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4315667,126.9181333
안양시,경인교육대후문,Gyeongin National University of Education Back Gate,208000028,9120,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.43245,126.9151333
안양시,고용노동부안양지청.명학자동차운전전문학원,,208506490,,,,,37.3861,126.9384667
안양시,고용노동부안양지청.명학자동차운전전문학원,,208506480,,,,,37.38625,126.9384
안양시,공작럭키아파트,Gongjak Lucky Apartment ,209000298,10263,노변정류장,경기도 안양시,,37.4017167,126.9577167
안양시,공작럭키아파트,Gongjak Lucky Apartment ,209000380,10345,노변정류장,경기도 안양시,,37.4015,126.9577667
안양시,공작마을.부영아파트,"Gongjak Maeul, Booyoung Apartment",209000238,10207,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.39845,126.9581333
안양시,공작마을럭키아파트,Gongjak Maeul Lucky Apartment ,209000065,10091,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4002667,126.9568833
안양시,관동교장,,208508330,,,,,37.3872,126.8829333
안양시,관악부영아파트,Gwanak Booyoung Apartment,209000278,10360,노변정류장,경기도 안양시,,37.397,126.94495
안양시,관악역,Gwanak Station ,208000041,9084,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4203667,126.9094833
