기준일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
2022-05-16,종합환경연구단지,89366,168001366,서구,검암경서동,168715.6043,126.646665,452067.3977,37.57036261
2022-05-16,종합환경연구단지,89367,168001367,서구,검암경서동,168734.1184,126.6468752,452051.5159,37.57022014
2022-05-16,종현동정보화마을,62044,217000386,코드정보 없음,대부동,161920.7163,126.5715315,417591.019,37.25947893
2022-05-16,종현동정보화마을,62043,217000537,코드정보 없음,대부동,161922.9286,126.5715571,417577.3769,37.2593561
2022-05-16,좌동마을,42452,168000452,서구,검단1동,167936.7716,126.6376352,456946.0801,37.61429107
2022-05-16,좌동마을,89253,168001253,서구,검단동,167959.828,126.6378959,456956.2672,37.61438365
2022-05-16,좌동마을입구,42928,168000928,서구,검단1동,168279.1918,126.641518,456840.6872,37.61335341
2022-05-16,좌동마을입구,42456,168000456,서구,검단1동,168355.9238,126.6423898,456776.991,37.61278218
2022-05-16,주거단지,35118,161000118,중구,운서동,154878.0633,126.4905305,444026.7493,37.4973451
2022-05-16,주거단지,35120,161000120,중구,운서동,154901.1011,126.490783,444157.8268,37.49852719
2022-05-16,주공12단지,35084,161000084,중구,운서동,154723.2777,126.48883,443218.7729,37.49005794
2022-05-16,주공12단지,35082,161000082,중구,운서동,154685.5049,126.4884044,443194.452,37.48983697
2022-05-16,주공6단지후문,40453,166000453,부평구,부개3동,177178.9413,126.742713,444088.7324,37.49872516
2022-05-16,주공뜨란채아파트,40803,166000803,부평구,십정1동,173700.4053,126.7034507,441999.0374,37.47980453
2022-05-16,주공뜨란채아파트,40708,166000708,부평구,십정1동,173695.9596,126.7034004,442000.5531,37.47981806
2022-05-16,주공아파트,40867,166000867,부평구,일신동,176882.8114,126.739422,442254.6617,37.48219297
2022-05-16,주공아파트105동,40886,166000886,부평구,삼산1동,177183.861,126.7427014,446251.3907,37.51821058
2022-05-16,주공아파트106동,40663,166000663,부평구,삼산1동,176985.637,126.7404587,446267.4538,37.51835037
2022-05-16,주물단지,42291,168000291,서구,검암경서동,168875.9103,126.6485593,450190.0067,37.55345328
2022-05-16,주안1동행정복지센터,37385,163000385,미추홀구,주안1동,171212.1709,126.6753862,440296.661,37.46439201
2022-05-16,주안2동치안센터,37302,163000302,미추홀구,주안2동,170842.1182,126.6712355,439486.1291,37.45707758
2022-05-16,주안3동행정복지센터,37204,163000204,미추홀구,주안3동,171086.1206,126.6740306,438535.695,37.44852193
